"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ARG","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.803291529,
"ARG","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.575513883,
"ARG","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.854431997,
"ARG","QGDP","TOT","PC_CHGPP","Q","2014-Q1",-1.561201134,
"ARG","QGDP","TOT","PC_CHGPP","Q","2014-Q2",-0.667877758,
"ARG","QGDP","TOT","PC_CHGPP","Q","2014-Q3",-0.876704059,
"ARG","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.513028084,
"ARG","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.416363346,
"ARG","QGDP","TOT","PC_CHGPP","Q","2015-Q2",2.609138729,
"ARG","QGDP","TOT","PC_CHGPP","Q","2015-Q3",-0.256162755,
"ARG","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-1.17323346,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q1",-0.715893271,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-1.724610817,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.261096564,
"ARG","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.654155256,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.018090701,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.898205924,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.351872623,
"ARG","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.94385962,
"ARG","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.50941231,
"ARG","QGDP","TOT","PC_CHGPP","Q","2018-Q2",-4.263739865,
"ARG","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.173477173,
"ARG","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-1.607017303,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.375610664,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.443968831,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.134160963,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.507469094,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.459706587,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.164386431,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.054141602,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q4",4.603577567,
"SVN","QGDP","TOT","PC_CHGPP","Q","2007-Q3",2.068038371,
"SVN","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.355330666,
"SVN","QGDP","TOT","PC_CHGPP","Q","2008-Q1",1.850667178,
"SVN","QGDP","TOT","PC_CHGPP","Q","2008-Q2",1.060488399,
"SVN","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.373682226,
"SVN","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.604291422,
"SVN","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-4.781441565,
"SVN","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-1.052978965,
"SVN","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.376450236,
"SVN","QGDP","TOT","PC_CHGPP","Q","2009-Q4",-0.044759221,
"SVN","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.007659902,
"SVN","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.385121379,
"SVN","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.381109396,
"SVN","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.606846241,
"SVN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.797264082,
"SVN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.643394006,
"SVN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",-0.190012529,
"SVN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.136177134,
"SVN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-1.018631696,
"SVN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-1.352913413,
"SVN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.160745976,
"SVN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-1.999316381,
"SVN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.340106734,
